//ID,Name,JName,LV,HP,SP,EXP,JEXP,Range1,ATK1,ATK2,DEF,MDEF,STR,AGI,VIT,INT,DEX,LUK,Range2,Range3,Scale,Race,Element,Mode,Speed,ADelay,aMotion,dMotion,Drop1id,Drop1per,Drop2id,Drop2per,Drop3id,Drop3per,Drop4id,Drop4per,Drop5id,Drop5per,Drop6id,Drop6per,Drop7id,Drop7per,Drop8id,Drop8per,Item1,Item2,MEXP,ExpPer,MVP1id,MVP1per,MVP2id,MVP2per,MVP3id,MVP3per
0,DEFAULT,Default,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,SCORPION,Scorpion,14,303,0,67,0,1,52,67,30,0,1,14,14,5,25,5,10,12,0,4,23,21,200,1564,864,576,904,5500,508,200,2305,100,512,0,512,0,512,0,512,0,512,0,0,0,,,,,,,,
66,PORING,Poring,1,50,0,2,0,1,7,10,0,5,1,1,1,0,6,30,10,12,1,3,21,3,400,1872,672,480,909,7000,1204,300,938,400,512,1000,512,0,512,0,512,0,512,0,0,0,,,,,,,,
//67,TESTEGG,Test Egg,2,10000,0,10000,10000,0,3,9,99,0,1,99,1,1,1,1,10,12,0,4,22,0,512,100,512,100,512,100,512,100,512,100,512,100,512,100,512,100,512,100,512,100,0,0,,,,,,,,
//68,HORNET,Hornet,8,169,0,19,0,1,22,27,5,5,6,20,8,10,17,5,10,12,0,4,24,9,150,,,216,512,0,938,5500,909,3500,1207,15,511,350,512,0,512,0,512,0,0,0,,,,,,,,
69,FARMILIAR,Farmiliar,6,102,0,20,0,1,16,20,0,0,1,10,7,5,22,0,10,12,0,2,27,5,150,1276,576,384,913,5500,1104,20,2208,15,512,0,514,100,507,700,512,0,512,0,0,0,,,,,,,,
71,FABRE,Fabre,2,63,0,3,0,1,7,10,0,0,1,2,4,0,7,5,10,12,0,4,22,1,400,1672,672,480,914,6500,512,0,1501,80,512,0,511,700,512,0,1501,200,512,0,0,0,,,,,,,,
73,CONDOR,Condor,4,83,0,5,0,1,9,13,0,0,1,11,5,0,11,8,10,12,1,2,24,9,150,1148,648,480,917,3500,916,5000,512,0,512,0,517,400,512,0,512,0,512,0,0,0,,,,,,,,
74,WILOW,Wilow,4,72,0,5,0,1,8,10,5,15,1,3,7,25,7,10,10,12,1,3,22,1,200,1672,672,432,902,6500,2101,200,512,0,512,0,512,0,512,0,512,0,512,0,0,0,,,,,,,,
75,CHOCHO,ChoCho,4,67,0,5,0,1,10,13,10,0,1,10,4,5,12,2,10,12,0,4,24,1,200,1076,576,480,512,0,935,1000,909,5000,1204,55,512,0,512,0,512,0,512,0,0,0,,,,,,,,
76,RODA_FROG,Roda Frog,6,104,0,16,0,1,15,18,0,4,1,8,6,6,14,6,10,12,1,5,21,1,200,2016,816,288,918,3500,911,5500,511,300,512,0,512,0,512,0,512,0,512,0,0,0,,,,,,,,
